combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.141382102168,0.083436492271,0.154094194125,0.107097258201,0.148137995505,0.058149885625,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.178312068441,0.242776556557,0.202922103154,0.065197147543,0.145723296311,0.237840797564,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,-0.1844641386,-0.008294434293,0.09017086745,0.3312496452,,Dignity=0,-0.09357854186,-0.008294434293,0.09017086745,0.27387022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,-0.019944106460,0.168359548602,0.030128798995,0.096030379273,0.082931767574,0.099145054634,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,-0.0739278189,0.01996977446,0.1286217628,0.2973472218,,Dignity=1,-0.05979124007,0.01996977446,0.1286217628,0.2950745774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.080700349605,0.229964010057,0.271249163647,0.063868140171,0.228586799630,0.106078314041,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.01098164464,0.117975021,0.2381812776,0.4179253469,,Dignity=2,0.01339496911,0.117975021,0.2381812776,0.4055056185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",-0.037689897669,0.008390004120,0.130906799033,0.002247531165,0.147655873024,-0.011056928918,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,-0.1421867852,0.001960148716,0.1055378727,0.3736760385,,Solidarity=0,-0.08865298493,0.001960148716,0.1055378727,0.3046126672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.013061851329,0.105596837768,0.065701978467,0.117313641832,0.165791639720,-0.008862815067,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,-0.04376684935,0.05283984561,0.2040030654,0.3728083472,,Solidarity=1,-0.0358091073,0.05283984561,0.2040030654,0.3493732384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.004909694380,0.022121835736,0.109714976558,0.081754411454,0.086235783960,-0.034146741025,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,-0.02883346161,0.1086637503,0.2471887111,0.4294157497,,Solidarity=2,-0.02438660303,0.1086637503,0.2471887111,0.3636879619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.059432776736,0.015475834493,0.123275172174,0.131602467884,0.257851369657,0.059196508345,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,-0.1526661536,0.007270000821,0.1370934713,0.3873965581,,Plurality=0,-0.09613868571,0.007270000821,0.1370934713,0.3250549598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.146379195816,0.077569358331,0.204739691249,0.121902166534,0.092654722129,0.138457317666,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.02371435274,0.1499784295,0.3068724119,0.3754419333,,Plurality=1,0.03581795311,0.1499784295,0.3068724119,0.3738068368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.091145744931,0.168866066466,0.137284375815,0.133434961679,0.146215143851,0.106532314997,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.130303266,0.1866628591,0.3105803697,0.3695740322,,Plurality=2,0.1329760348,0.1866628591,0.3105803697,0.3676254667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
