combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.101144145973,0.146397027096,0.133081393293,0.101776632098,0.157356802411,0.121383953812,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.187090733954,0.213740709610,0.195291979120,0.061051621942,0.073944739894,0.236326282072,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,-0.1528983702,-0.0173273876,0.08973234339,0.3938472739,,Dignity=0,-0.1029284465,-0.0173273876,0.08973234339,0.3044253848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,-0.072218269523,0.129168792346,0.044901560929,0.054985402674,-0.010664996279,0.007184209829,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,-0.0859141191,0.0001396613081,0.1105944729,0.4430345672,,Dignity=1,-0.0749614869,0.0001396613081,0.1105944729,0.3530706585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.033331715480,0.237631374258,0.206765096403,0.051957669262,0.169423672486,0.135736383988,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,-0.002400100883,0.1157801515,0.2720092578,0.5041280353,,Dignity=2,0.003217239025,0.1157801515,0.2720092578,0.4792100507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",-0.074850854256,0.025312017037,0.094471991494,-0.011443853428,0.077428335309,0.074798273964,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,-0.1708844574,0.01458185984,0.111635567,0.3781645451,,Solidarity=0,-0.0933835846,0.01458185984,0.111635567,0.3017284144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.008910245157,0.276670691631,0.104192141321,0.072628607486,0.055709126862,0.043512255766,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,-0.04591678926,0.04768105793,0.2137407096,0.380390031,,Solidarity=1,-0.03637781582,0.04768105793,0.2137407096,0.346754366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,-0.009190842278,0.110367105486,0.032214863407,0.047323673872,0.085768285523,0.005253950376,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,-0.03742567654,0.1185427692,0.3083974403,0.4944716057,,Solidarity=2,-0.003627880993,0.1185427692,0.3083974403,0.4701995048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.117360119074,0.196925687159,0.115079582447,0.109138958025,0.207070175757,0.113037639298,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,-0.1215014243,0.02836006288,0.1437559588,0.4721558098,,Plurality=0,-0.06582487495,0.02836006288,0.1437559588,0.3455432987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.146191335241,0.138700936496,0.251753389644,0.143866094917,0.086540302093,0.247127816967,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.08779408374,0.162051319,0.3397730624,0.4250840641,,Plurality=1,0.09409746037,0.162051319,0.3397730624,0.4231250634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.112880446321,0.163549895421,0.174482114787,0.129696385380,0.069776540849,0.124172072907,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.1084102979,0.187124792,0.3643439911,0.4262867068,,Plurality=2,0.1113988762,0.187124792,0.3643439911,0.4243370558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.175645799289,0.258671547384,0.224619202223,0.174739775114,0.209198116060,0.276169912826,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,-0.128195198,0.00880283058,0.1166134748,0.3674469167,,Subsidiarity=0,-0.07505864711,0.00880283058,0.1166134748,0.2882364871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And that the farmers are paid fairly.,0.124587531751,0.199519735688,0.104489953300,0.122546881860,0.137573529528,0.154074275398,,,1,0,0,0,2,0,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.1169257753,0.19564637,0.2126194196,0.3285654325,,Subsidiarity=1,0.1214666237,0.19564637,0.2126194196,0.3216234839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
