combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.601986225229,0.606998030369,0.580561078878,0.547617467717,0.566861259680,0.556166266163,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.651052965722,0.665179847728,0.662730119480,0.589221352966,0.643704675963,0.650685206942,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.4373756699,0.5380054892,0.5969842152,0.7359336874,,Dignity=0,0.4765302636,0.5380054892,0.5969842152,0.6845125624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.556911873251,0.557457670723,0.535365500058,0.498967145558,0.564240140288,0.521305872228,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.5136099969,0.5597207289,0.6140796568,0.7093750121,,Dignity=1,0.522161855,0.5597207289,0.6140796568,0.6726403789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.654558505539,0.668171077506,0.642145877599,0.609832381352,0.698843852385,0.633937666976,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.5402839632,0.622997037,0.6789943687,0.7801390938,,Dignity=2,0.5522792972,0.622997037,0.6789943687,0.7712271241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.609783426543,0.640195893603,0.644169020470,0.567122826554,0.614665886427,0.595505772634,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.4423474156,0.5555019339,0.6058793437,0.7142023871,,Solidarity=0,0.4897655787,0.5555019339,0.6058793437,0.6726235431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.572841426439,0.587897417297,0.574226509898,0.547907030024,0.595466879809,0.532351491508,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.5136555509,0.5949561532,0.6547031059,0.6994312879,,Solidarity=1,0.5210297743,0.5949561532,0.6547031059,0.6880276976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.524617508033,0.558315712358,0.569153707783,0.536410977079,0.578016202690,0.519642930458,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.573573344,0.6285215632,0.6796374678,0.7624972649,,Solidarity=2,0.5898238493,0.6285215632,0.6796374678,0.7443847086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.578521512975,0.598091030456,0.579945116363,0.567118280229,0.584285645486,0.590217020534,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.4854466235,0.5638422825,0.6192642034,0.742057039,,Plurality=0,0.5061736759,0.5638422825,0.6192642034,0.7032458013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.650344116889,0.607731281037,0.619448491278,0.593264493818,0.615989956894,0.622697650770,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.5872454954,0.6425436592,0.7001243832,0.7559686961,,Plurality=1,0.5889905944,0.6425436592,0.7001243832,0.7527067228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.613308122213,0.583727402020,0.599656325560,0.602606308483,0.634077339227,0.588441925040,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.6116645528,0.615413973,0.7116565663,0.7281430421,,Plurality=2,0.6117448396,0.615413973,0.7116565663,0.727637883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
