combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.434157903620,0.444212774896,0.402024070388,0.451398903250,0.433701318428,0.431890931295,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.468937509409,0.477738933289,0.460948746085,0.421865031033,0.440686864536,0.471033374912,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.2736522463,0.382059406,0.4527737687,0.6370383548,,Dignity=0,0.3068997985,0.382059406,0.4527737687,0.5653107453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.426737370610,0.442823282467,0.415797580052,0.391970523339,0.454030790050,0.439928054972,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.3181045762,0.4220160059,0.4727599814,0.6365119428,,Dignity=1,0.3570167057,0.4220160059,0.4727599814,0.5831306868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.498351518087,0.566566269311,0.526377627774,0.459194767974,0.576078929411,0.501661972389,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.4175579221,0.5010802742,0.5668223178,0.6552845406,,Dignity=2,0.4235339154,0.5010802742,0.5668223178,0.6547788545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.397819900896,0.476102093196,0.467795134088,0.374497103314,0.477817014943,0.441918771317,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.2879062605,0.4137201848,0.4866513282,0.6374543884,,Solidarity=0,0.3417810259,0.4137201848,0.4866513282,0.5935486582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.429079783692,0.499419940918,0.440438835308,0.434823120602,0.501130494294,0.412285766298,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.3655715135,0.4546151254,0.5417474801,0.6677244063,,Solidarity=1,0.3681895208,0.4546151254,0.5417474801,0.6397522313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.277027076554,0.376751924750,0.360065346834,0.377808175942,0.442955182086,0.332055078138,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.3866372224,0.4917769693,0.5894723638,0.7009001099,,Solidarity=2,0.4200968624,0.4917769693,0.5894723638,0.6769741441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.445356126949,0.527249613349,0.464742672399,0.504112991653,0.518522319645,0.477852141314,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.2535735118,0.3913716404,0.4651475061,0.6616202278,,Plurality=0,0.3174990189,0.3913716404,0.4651475061,0.5681627531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.492394536670,0.538763225258,0.461396111985,0.493139324353,0.549293432680,0.562677606694,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.4293340524,0.487387029,0.5858048036,0.6202411823,,Plurality=1,0.4354873441,0.487387029,0.5858048036,0.6175959646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.509996772580,0.544260734881,0.468569997629,0.506017230502,0.577599306299,0.490715193036,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.4559925866,0.4764649287,0.6004412565,0.6356241616,,Plurality=2,0.456835501,0.4764649287,0.6004412565,0.6346255341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
