combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.491708988830,0.453402014768,0.403158987179,0.468848091996,0.467017995408,0.432072645531,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.542622212617,0.492164072499,0.463960437815,0.426874815190,0.475701823842,0.520262748800,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.3096437432,0.3991577425,0.4614009798,0.6456158405,,Dignity=0,0.3416390057,0.3991577425,0.4614009798,0.5583345277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.461811512186,0.451136645168,0.397776482753,0.418872115813,0.489007338122,0.503060165866,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.3356625867,0.4274076812,0.4804274668,0.6290220359,,Dignity=1,0.3559852311,0.4274076812,0.4804274668,0.618308186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.481885250247,0.561112557377,0.476179933721,0.442102402328,0.598662140277,0.505445834885,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.4052679022,0.4759570048,0.5178481305,0.6169455431,,Dignity=2,0.4139577187,0.4759570048,0.5178481305,0.6133854414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.387516611574,0.410128214775,0.444935638073,0.379942505412,0.516681680870,0.390279729633,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.3052927904,0.3987331209,0.4660929291,0.6416238442,,Solidarity=0,0.3344070747,0.3987331209,0.4660929291,0.5747375063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.438906136136,0.442927726895,0.475246995072,0.424469839197,0.532016496455,0.422792168025,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.3464231291,0.4339621081,0.5196393862,0.6435112379,,Solidarity=1,0.3705666401,0.4339621081,0.5196393862,0.6149728845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.317553732783,0.330017839005,0.396089873848,0.400089862217,0.522605699997,0.335503340404,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.3703036329,0.4547867305,0.5407097467,0.6015369976,,Solidarity=2,0.3928373508,0.4547867305,0.5407097467,0.5950580658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.436810796834,0.433962108134,0.480567807364,0.471135963402,0.530552996952,0.444620643982,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.2715572111,0.3783260916,0.4405046525,0.652633836,,Plurality=0,0.3151523507,0.3783260916,0.4405046525,0.5391899644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.484987472113,0.518600402443,0.392224769358,0.419246840677,0.505882514973,0.547183614665,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.3967151797,0.4661422773,0.5527405405,0.6123534808,,Plurality=1,0.399962607,0.4661422773,0.5527405405,0.6084577027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.457325365483,0.511673101112,0.417928706411,0.462512633285,0.550275313666,0.473690452345,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.3864330845,0.4347131336,0.5879471594,0.6557069905,,Plurality=2,0.3887992466,0.4347131336,0.5879471594,0.6533912168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
