combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Human dignity, solidarity, environmental sustainability, social justice, democratic participation and transparency form the five pillars with which the entrepreneurial success can be measured in a new and different way than before.",0.845867630278,0.838820596332,0.835581391611,0.807767295524,0.808518468864,0.836810974299,,,2,2,1,2,2,2,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gain knowledge enables the co-operatives to create the necessary structures in the medium term and to carry out processes independently.,0.729723405061,0.755973651030,0.755579331290,0.798887659712,0.745726123946,0.759475535622,,,0,0,0,0,2,0,,0,Dignity,10,B,J,Dignity=0,0.6568846042,0.7022518706,0.7319384222,0.8027433331,,Dignity=0,0.6735221847,0.7022518706,0.7319384222,0.7791080813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We know that we need to take responsibility.,0.759084646187,0.747352999403,0.743047328287,0.797236952234,0.745728264552,0.771442593714,,,0,1,0,0,0,1,,1,Dignity,10,B,J,Dignity=1,0.6876508731,0.7133661672,0.7369149487,0.8122769678,,Dignity=1,0.6965119974,0.7133661672,0.7369149487,0.7867648224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The aim is to make an accurate and consistent assessment of where the company is heading in terms of their common good journey.,0.795493943048,0.784311227798,0.802478465604,0.789668565082,0.794074448031,0.822370290805,,,2,2,1,1,2,2,,2,Dignity,10,B,J,Dignity=2,0.6826505473,0.7451008499,0.7776488321,0.8458676303,,Dignity=2,0.6933547259,0.7451008499,0.7776488321,0.8389871742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It focuses on principles beyond the financial balance.,0.785432583271,0.765294763417,0.802355321250,0.787613795337,0.766157109661,0.798271077774,,,0,0,0,0,0,0,,0,Solidarity,11,C,K,Solidarity=0,0.6398388551,0.7045530159,0.730423155,0.7897639791,,Solidarity=0,0.6698037864,0.7045530159,0.730423155,0.767762011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Therefore, it is all the more important that there are companies that make it possible for local people to make a living.",0.777468555033,0.797323175597,0.779131433883,0.785396422106,0.759626956646,0.778664713376,,,0,2,0,0,0,0,,1,Solidarity,11,C,K,Solidarity=1,0.6861787668,0.7264265136,0.7493876138,0.7797847573,,Solidarity=1,0.6869772191,0.7264265136,0.7493876138,0.7759933305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We take our responsibility seriously.,0.776151779874,0.748465958755,0.750731176667,0.784688339293,0.756188278324,0.781544668889,,,0,1,0,0,0,1,,2,Solidarity,11,C,K,Solidarity=2,0.7023079032,0.7378174861,0.7715885302,0.8388205963,,Solidarity=2,0.7077425882,0.7378174861,0.7715885302,0.8074468799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passionate about organics - standing on their own two feet and helping others to walk.,0.786507123919,0.789763979143,0.771079330152,0.783183092930,0.759844227101,0.798057900080,,,1,0,0,0,0,1,,0,Plurality,12,D,L,Plurality=0,0.6610874827,0.709491976,0.7383376399,0.805666807,,Plurality=0,0.6729800099,0.709491976,0.7383376399,0.781794565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Live and let live, mutual respect and appreciation, fruitful cooperation that is our philosophy.",0.805708322473,0.804718730615,0.789629534952,0.782121052323,0.808073503474,0.787421572989,,,2,2,0,0,2,0,,1,Plurality,12,D,L,Plurality=1,0.7346084552,0.7442529001,0.7839338318,0.8355813916,,Plurality=1,0.7352634884,0.7442529001,0.7839338318,0.8346519311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality management By applying a company specific Total Quality Management System TQMS processes and responsibilities are regulated and the required quality can be met.,0.762425311715,0.725004920616,0.755763292194,0.781596546671,0.754585053940,0.767198674150,,,0,0,0,0,2,0,,2,Plurality,12,D,L,Plurality=2,0.7368953094,0.73859228,0.7855836859,0.8045051191,,Plurality=2,0.7369292463,0.73859228,0.7855836859,0.8038663717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Systems and institutions to whom ethically correct action in cooperation with the environment and man is a real concern, are rewarded.",0.783074301285,0.775887372145,0.754928976261,0.780528105644,0.798539432239,0.812187897053,,,0,2,0,0,0,2,,0,Subsidiarity,13,E,M,Subsidiarity=0,0.6600885198,0.711201331,0.7390625013,0.7988876597,,Subsidiarity=0,0.6784888365,0.711201331,0.7390625013,0.7766651681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An important step for this was the launch of our own SONNENTOR organic farm, the Frei-Hof, our first step towards self-sufficiency.",0.740316947530,0.746708588414,0.744214233979,0.778736139856,0.731596981685,0.771188508878,,,0,0,0,0,0,2,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.7447311164,0.7486252074,0.7693097065,0.7896685651,,Subsidiarity=1,0.7448002022,0.7486252074,0.7693097065,0.7885887242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The purpose of the company or the institution is now clearly to maximise the public welfare.,0.764545279221,0.764912852721,0.762359992270,0.778272609486,0.751749644965,0.785276751035,,,0,2,0,0,0,2,,2,Subsidiarity,13,E,M,Subsidiarity=2,0.7504929544,0.7538498916,0.7678839734,0.8077672955,,Subsidiarity=2,0.7505341408,0.7538498916,0.7678839734,0.8053863661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In order to do so we need to know about the local conditions, learn about the culture and win the trust of the people.",0.775062405674,0.777856748930,0.785235013789,0.775942984337,0.801962962899,0.787043761202,,,0,2,0,0,2,0,,0,Reciprocity,14,F,N,Reciprocity=0,0.6396904721,0.6897409766,0.7199482186,0.8068655782,,Reciprocity=0,0.6556429634,0.6897409766,0.7199482186,0.7703709053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When it comes to economic success, we find that it should be shared, and not just by a few, like a CEO or shareholders.",0.802743333086,0.783010095927,0.783261457769,0.774644127484,0.787222315322,0.789774211993,,,0,2,0,0,0,0,,1,Reciprocity,14,F,N,Reciprocity=1,0.6631015327,0.7027228738,0.7413679988,0.8043167342,,Reciprocity=1,0.6645619294,0.7027228738,0.7413679988,0.8005531654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instead of competitive thinking, we rely on cooperation.",0.760518717988,0.780339531346,0.772043852547,0.773837136760,0.783214497535,0.756148768307,,,0,0,0,0,2,0,,2,Reciprocity,14,F,N,Reciprocity=2,0.6817176693,0.7204740515,0.7674521296,0.8101239122,,Reciprocity=2,0.688245214,0.7204740515,0.7674521296,0.8091445918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regionality and creating value and jobs go hand in hand and we enjoy setting a good example.,0.780504714750,0.785803569346,0.782123314914,0.773782386443,0.776110985123,0.779101893481,,,0,2,0,0,0,0,,0,Sustainability,15,G,O,Sustainability=0,0.6666953955,0.7117305572,0.7420719103,0.7988964154,,Sustainability=0,0.6784181529,0.7117305572,0.7420719103,0.7870853205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The movement is intended to be effective on political, economic and social levels.",0.744780935626,0.770377350369,0.762987923436,0.772599468316,0.742230513534,0.776617232657,,,0,1,0,0,0,0,,1,Sustainability,15,G,O,Sustainability=1,0.6777927685,0.7294116548,0.7596464792,0.8223358595,,Sustainability=1,0.6873102103,0.7294116548,0.7596464792,0.7984958802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabine and Christian strived to shape their lives and work so that they are in balance.,0.765090108397,0.764683532352,0.767002033466,0.772344921845,0.750584755999,0.773394120919,,,0,0,0,0,0,0,,2,Sustainability,15,G,O,Sustainability=2,0.6952002275,0.7337151729,0.775760101,0.8488764823,,Sustainability=2,0.7018229503,0.7337151729,0.775760101,0.8395214938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common good instead of profit Cooperation instead of competition In this sense, economy of the common good is based on two central statements.",0.768133951221,0.802199282700,0.773267780354,0.771671216903,0.784193055829,0.788926589872,,,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The aims of the movement are to grow on a local level, to increase the common good, to remain consistently liberal as well as to remain grass-roots and to work economically.",0.749570038122,0.784161308488,0.763084160268,0.771527222510,0.738149063937,0.785330266310,,,0,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
