combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- What would SONNENTOR be without their organic farmers?,0.724765155240,0.745658043148,0.726725615794,0.751230006236,0.734771408579,0.774112909552,,,1,0,0,0,1,1,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.681516162060,0.687713198817,0.706038068536,0.717579021078,0.723432485952,0.703091204157,,,0,0,0,0,2,0,,0,Dignity,10,B,J,Dignity=0,0.6748491859,0.7072143025,0.7345109039,0.7991212215,,Dignity=0,0.6818989732,0.7072143025,0.7345109039,0.7756534035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 VAT incl.,0.704187053301,0.708637936080,0.702877537461,0.731867182409,0.702039522175,0.717780013478,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.7001846441,0.724673018,0.7449898953,0.8096977513,,Dignity=1,0.7003746164,0.724673018,0.7449898953,0.808550458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 BIO FÖRDERT DIVERSITÄT.,0.739693924908,0.757194446345,0.803744063613,0.754118229594,0.726111538399,0.755753623090,,,0,0,0,0,0,1,,2,Dignity,10,B,J,Dignity=2,0.7056226349,0.7378528225,0.7636946668,0.8041654625,,Dignity=2,0.708492155,0.7378528225,0.7636946668,0.8028901834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"250 g Organic farmer DON JOS MARIA CASTRO, known as CHEMA, lives with his family in northern Nicaragua.",0.731510054346,0.744512386765,0.736023765266,0.746829426127,0.709714699014,0.753229422630,,,0,0,0,0,0,1,,0,Solidarity,11,C,K,Solidarity=0,0.6697927352,0.7138314863,0.7425755833,0.820756414,,Solidarity=0,0.6835743571,0.7138314863,0.7425755833,0.7905335833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29  158.,0.741400023297,0.714161635613,0.720774056263,0.725321709104,0.724099716895,0.736161358573,,,0,0,0,0,0,0,,1,Solidarity,11,C,K,Solidarity=1,0.697977252,0.7340857292,0.7619758571,0.8036657837,,Solidarity=1,0.7012132992,0.7340857292,0.7619758571,0.8036321778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29  73.,0.727695316202,0.728682249110,0.730977112380,0.727079340572,0.722466053077,0.739702453968,,,0,0,0,0,0,0,,2,Solidarity,11,C,K,Solidarity=2,0.7015818117,0.7386370399,0.7702131593,0.8177203121,,Solidarity=2,0.7020174996,0.7386370399,0.7702131593,0.8110302964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 5 CZECH REPUBLIC - THE LAUGHING SUN IN SOUTH MORAVIA Together with the Czech organic association PROBIO, SONNENTOR ensured that the Czech Republic could provide proof of the implementation of EU organic regulation in the context of the Czech EU accession to the EU.",0.709540638154,0.732470217631,0.722277548776,0.761818774006,0.731263801078,0.741761282473,,,0,0,0,0,0,2,,0,Plurality,12,D,L,Plurality=0,0.6571193406,0.7140922126,0.7406883244,0.8103088047,,Plurality=0,0.6819567391,0.7140922126,0.7406883244,0.787928429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49  44.,0.723624307950,0.722608669440,0.729109025219,0.738452554730,0.728540728745,0.739424393549,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.730099335,0.7476149334,0.7733925127,0.8312441361,,Plurality=1,0.7307268574,0.7476149334,0.7733925127,0.8284831235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49  78.,0.717702708089,0.716264574110,0.729794361992,0.728059063171,0.723507046614,0.738665578996,,,0,0,0,0,0,0,,2,Plurality,12,D,L,Plurality=2,0.7324418561,0.7430938655,0.7785926656,0.8389585385,,Plurality=2,0.7328262689,0.7430938655,0.7785926656,0.8362832879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
