combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- What would SONNENTOR be without their organic farmers?,0.715835176506,0.732263967303,0.705651359492,0.717759343354,0.716946486502,0.739644406511,,,1,0,0,0,1,1,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.673659036648,0.692242992589,0.682556985768,0.686070393931,0.691212170395,0.676711791000,,,0,0,0,0,2,0,,0,Dignity,10,B,J,Dignity=0,0.6476349526,0.6911582683,0.7228587736,0.8002845666,,Dignity=0,0.6590716037,0.6911582683,0.7228587736,0.7704175073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 VAT incl.,0.671252855285,0.680544131503,0.667218262298,0.671315331853,0.662970611893,0.672572105346,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.6687253088,0.7057931575,0.7330290087,0.8135666602,,Dignity=1,0.6801862534,0.7057931575,0.7330290087,0.7695273816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 BIO FÖRDERT DIVERSITÄT.,0.728961474337,0.735447810408,0.771609361978,0.727995295918,0.689610669351,0.714605392090,,,0,0,0,0,0,1,,2,Dignity,10,B,J,Dignity=2,0.6710765492,0.7387178628,0.7642136011,0.8375872291,,Dignity=2,0.6812084543,0.7387178628,0.7642136011,0.823217642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"250 g Organic farmer DON JOS MARIA CASTRO, known as CHEMA, lives with his family in northern Nicaragua.",0.706477869127,0.705083850423,0.698925459406,0.694495552321,0.666247187951,0.697729596052,,,0,0,0,0,0,1,,0,Solidarity,11,C,K,Solidarity=0,0.6454197805,0.6942106745,0.7238617761,0.7898100959,,Solidarity=0,0.6599174146,0.6942106745,0.7238617761,0.7669286505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29  158.,0.710938783199,0.683146463889,0.683742484892,0.689788700181,0.678930025975,0.687790182824,,,0,0,0,0,0,0,,1,Solidarity,11,C,K,Solidarity=1,0.6769167715,0.7113300703,0.7478189861,0.7770435313,,Solidarity=1,0.6773531039,0.7113300703,0.7478189861,0.7759686582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29  73.,0.713474186570,0.693905093582,0.698640251857,0.688981339025,0.681849511421,0.684347056150,,,0,0,0,0,0,0,,2,Solidarity,11,C,K,Solidarity=2,0.6897531553,0.7298623533,0.7682077368,0.8432539767,,Solidarity=2,0.6975541214,0.7298623533,0.7682077368,0.813267174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 5 CZECH REPUBLIC - THE LAUGHING SUN IN SOUTH MORAVIA Together with the Czech organic association PROBIO, SONNENTOR ensured that the Czech Republic could provide proof of the implementation of EU organic regulation in the context of the Czech EU accession to the EU.",0.707467213229,0.717925827485,0.707021888630,0.720830143926,0.720804397411,0.714470759174,,,0,0,0,0,0,2,,0,Plurality,12,D,L,Plurality=0,0.6320392691,0.6900634433,0.7181281151,0.7880039808,,Plurality=0,0.6581509943,0.6900634433,0.7181281151,0.7698280759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49  44.,0.704864530749,0.696032125103,0.694476582968,0.707819811555,0.692228914109,0.692081184225,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.7199216178,0.72619049,0.7697365144,0.8142764655,,Plurality=1,0.7200762511,0.72619049,0.7697365144,0.8135575837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49  78.,0.699457476461,0.683685171914,0.693289044606,0.691400534968,0.681909235485,0.686694755543,,,0,0,0,0,0,0,,2,Plurality,12,D,L,Plurality=2,0.714757589,0.7179206516,0.7608973697,0.7950107706,,Plurality=2,0.7148892925,0.7179206516,0.7608973697,0.7935823046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
