combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.764402850590,0.789359279085,0.777846507194,0.785070760066,0.771569676659,0.762263980927,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.784057267248,0.798884420628,0.780210840142,0.770257967887,0.764332501151,0.769828915906,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.6783222752,0.7397821849,0.7712706516,0.8666612054,,Dignity=0,0.7091743506,0.7397821849,0.7712706516,0.8186829707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.739438418448,0.762904580272,0.758789099045,0.744452019958,0.744766706325,0.752795936788,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.7156486066,0.7527615518,0.7753865597,0.8482002649,,Dignity=1,0.7248631793,0.7527615518,0.7753865597,0.8251473352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.758758588530,0.794391857419,0.783950385121,0.766832582556,0.791383466423,0.765734121740,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.7395398253,0.7800287453,0.8105856196,0.8572174922,,Dignity=2,0.7423525647,0.7800287453,0.8105856196,0.8526060165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.750716396317,0.776453111321,0.754351351720,0.756916481205,0.755511431429,0.744671832738,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.7064854624,0.7494573188,0.7785544314,0.8634026332,,Solidarity=0,0.7210438548,0.7494573188,0.7785544314,0.8241319467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.765804882145,0.806903564945,0.775137976141,0.762679974336,0.785084901468,0.755018661971,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.7371104668,0.7681770075,0.8086587922,0.8583004765,,Solidarity=1,0.739679776,0.7681770075,0.8086587922,0.8520404741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.740460829346,0.774909584625,0.752447838550,0.771919490743,0.778505800245,0.736982507553,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.7586376832,0.7860609562,0.8182170342,0.874333037,,Solidarity=2,0.7596583413,0.7860609562,0.8182170342,0.8603979759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.776930682830,0.808658792170,0.759558159154,0.773164074159,0.785877941820,0.754975110358,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.6918068284,0.7413142535,0.7734760833,0.8410257621,,Plurality=0,0.7092030261,0.7413142535,0.7734760833,0.8238492907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.781179309972,0.794895076365,0.777754390089,0.779505849372,0.779519206735,0.784961957826,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.7517624544,0.772788117,0.8224997341,0.8398720571,,Plurality=1,0.7533593859,0.772788117,0.8224997341,0.8387784272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.786830343098,0.808616045112,0.798028348840,0.782414300365,0.788909678360,0.794226893830,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.7677656691,0.7773282969,0.8331730072,0.8467765517,,Plurality=2,0.7682184956,0.7773282969,0.8331730072,0.8463549732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.798993869489,0.822983849267,0.802848838480,0.793224063362,0.799718743408,0.804130246653,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,0.6957110329,0.7426718502,0.7728837971,0.851229534,,Subsidiarity=0,0.7149710055,0.7426718502,0.7728837971,0.8287468813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And that the farmers are paid fairly.,0.782945837362,0.810518653144,0.784834092884,0.783426894488,0.793706203018,0.780745618475,,,1,0,0,0,2,0,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.7768166447,0.7817691819,0.8135244505,0.8250778069,,Subsidiarity=1,0.7769050675,0.7817691819,0.8135244505,0.8247223491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional produce - worldwide At SONNENTOR, farmers benefit from the fruits of their work - and with them, whole regions.",0.769456463777,0.799914573929,0.779285843398,0.774230532965,0.773981278903,0.785439773445,,,0,2,0,0,0,0,,2,Subsidiarity,13,E,M,Subsidiarity=2,0.7769118198,0.7948912703,0.8243209505,0.8315794698,,Subsidiarity=2,0.77798562,0.7948912703,0.8243209505,0.8311789571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the sustainable practice of our international cultivation partners, value is added to their products.",0.782639633160,0.800757587503,0.816685910545,0.789665185710,0.801060536152,0.829374930693,,,0,0,0,0,0,2,,0,Reciprocity,14,F,N,Reciprocity=0,0.6874848654,0.7381609602,0.765619352,0.866218928,,Reciprocity=0,0.7061844909,0.7381609602,0.765619352,0.8215315176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products are harvested by hand and processed on site.,0.783171471680,0.789502384605,0.779738660962,0.785099181954,0.784845427417,0.806442775957,,,0,0,0,0,0,0,,1,Reciprocity,14,F,N,Reciprocity=1,0.7198643783,0.7502791218,0.7878943509,0.8267760679,,Reciprocity=1,0.7286599967,0.7502791218,0.7878943509,0.8234503903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This creates jobs in rural areas and secures the existence of many farmers' families over several generations.,0.769125960616,0.801249646427,0.796287802871,0.779090092446,0.785670979859,0.781416045754,,,0,2,0,0,0,0,,2,Reciprocity,14,F,N,Reciprocity=2,0.7423858706,0.7720083797,0.8049898321,0.8669449461,,Reciprocity=2,0.7428279999,0.7720083797,0.8049898321,0.8497764652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because organic cultivation protects the soils and sets the best conditions for long-term, fertile harvests.",0.744471783797,0.756652420516,0.766146796581,0.753784407468,0.755324402704,0.794133120297,,,0,0,0,0,0,2,,0,Sustainability,15,G,O,Sustainability=0,0.6815323497,0.737083418,0.7697874226,0.8473714457,,Sustainability=0,0.7002951832,0.737083418,0.7697874226,0.8144699025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are convinced that this is the right path of international cooperation, and many more companies will eventually take the step towards direct trade.",0.776786645792,0.818356829734,0.791471988289,0.787783860300,0.805047006488,0.772978839515,,,0,0,0,0,2,0,,1,Sustainability,15,G,O,Sustainability=1,0.7159442669,0.7574709038,0.7823367162,0.8455581021,,Sustainability=1,0.7199601637,0.7574709038,0.7823367162,0.8277320231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
