combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.766362608867,0.780758617414,0.797278650647,0.784209060538,0.774844922929,0.762871541931,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.777650590530,0.779259815858,0.790728500371,0.766029940481,0.773605262846,0.761996540192,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.6696919792,0.7304631242,0.7592043512,0.853218942,,Dignity=0,0.7025469595,0.7304631242,0.7592043512,0.7973467298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.732434588902,0.757816715743,0.763443311149,0.751939505131,0.752469594473,0.744969753007,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.7045956612,0.7330260973,0.7561516311,0.8162451674,,Dignity=1,0.7068919042,0.7330260973,0.7561516311,0.7987614729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.740106421972,0.763848761877,0.793906529512,0.768276739243,0.784221370008,0.744840015662,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.7193687776,0.7646600581,0.7927268618,0.845622274,,Dignity=2,0.7215302302,0.7646600581,0.7927268618,0.8420691144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.739214901766,0.757251176638,0.783503863857,0.752440011524,0.756450595214,0.721798866736,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.6884354056,0.7385133369,0.7649812037,0.8394734487,,Solidarity=0,0.7112691757,0.7385133369,0.7649812037,0.8076248466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.768879034301,0.777969937603,0.768719144426,0.760736820433,0.794644806916,0.735944437049,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.7306580451,0.7519064101,0.7850560877,0.8449004803,,Solidarity=1,0.7314809901,0.7519064101,0.7850560877,0.8364934735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.738363493351,0.766771754108,0.761831199251,0.769538887351,0.768454217967,0.725656182044,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.7437942177,0.7717965593,0.8017237125,0.8398348124,,Solidarity=2,0.7462609551,0.7717965593,0.8017237125,0.8389295913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.754901864018,0.769519640910,0.764572963494,0.768918279001,0.789674204960,0.730723680597,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.6839445554,0.7540441714,0.7856993572,0.8542259749,,Plurality=0,0.7171302346,0.7540441714,0.7856993572,0.8296706129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.772537314706,0.768626044356,0.791138576709,0.775490690273,0.760128930517,0.765670263234,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.7614379384,0.7849287878,0.822010083,0.8511829134,,Plurality=1,0.7623997961,0.7849287878,0.822010083,0.8503552972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.775991332242,0.786072339004,0.795828627882,0.780543700759,0.789904345248,0.768031229965,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.7855750553,0.791088239,0.835715716,0.8469236899,,Plurality=2,0.7857224783,0.791088239,0.835715716,0.8464292189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
