combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.791613298586,0.793635429198,0.805074442792,0.792270064768,0.788545840905,0.789499622058,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.787955541626,0.805732611842,0.775212913758,0.773431471523,0.770232216795,0.783857741454,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.691807238,0.7374938834,0.7644122687,0.8660873545,,Dignity=0,0.7137032379,0.7374938834,0.7644122687,0.8076005748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.740005056576,0.754275170098,0.766402870270,0.755805906239,0.750793360529,0.763633641504,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.7180771595,0.74735824,0.7705051103,0.8316200704,,Dignity=1,0.7204823886,0.74735824,0.7705051103,0.8184183191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.733601685506,0.771440971429,0.766735479453,0.773278724005,0.790319505821,0.757342810396,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.7271342131,0.7619799254,0.790806165,0.8342337394,,Dignity=2,0.7291823148,0.7619799254,0.790806165,0.8328773629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.744650871493,0.751766354477,0.770817929421,0.767946325206,0.759987350726,0.747881777151,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.6971319464,0.7435107372,0.7704238733,0.8565994236,,Solidarity=0,0.7156927987,0.7435107372,0.7704238733,0.8193565086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.759951080512,0.770450828099,0.785446947040,0.764666648806,0.772771058119,0.760518199933,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.733574114,0.7614646852,0.7949583362,0.8685288927,,Solidarity=1,0.7366500853,0.7614646852,0.7949583362,0.8498647895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.740990576346,0.752445390853,0.768223816999,0.772048282668,0.781989703851,0.738641964110,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.7302048623,0.7716252773,0.8034493585,0.8493838122,,Solidarity=2,0.7463455511,0.7716252773,0.8034493585,0.8432963751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.758760654143,0.759702136682,0.768538804718,0.768915855169,0.778925144431,0.750027873400,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.695910814,0.7514650958,0.7778729072,0.8475115401,,Plurality=0,0.7190940089,0.7514650958,0.7778729072,0.8208888378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.774709327697,0.766368696123,0.783312712557,0.774684810036,0.764760816451,0.783008330568,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.7643941475,0.7777668751,0.8155766513,0.8481315008,,Plurality=1,0.7652704026,0.7777668751,0.8155766513,0.8461396571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.767921993962,0.785352188703,0.782802828601,0.774898827712,0.786036621161,0.792203569347,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.763713225,0.7745747882,0.8134249931,0.870420121,,Plurality=2,0.7641461855,0.7745747882,0.8134249931,0.867573847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.786034387670,0.787658568076,0.810070768924,0.784610019978,0.792578057754,0.799489012060,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,0.6907905076,0.7464853411,0.7734007133,0.8437146756,,Subsidiarity=0,0.7192499215,0.7464853411,0.7734007133,0.8161852597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And that the farmers are paid fairly.,0.771985769242,0.786685159173,0.801128703122,0.782580652780,0.779036192352,0.778182006239,,,1,0,0,0,2,0,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.7609510881,0.7718169765,0.792574759,0.7957053758,,Subsidiarity=1,0.7615789982,0.7718169765,0.792574759,0.7956280898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional produce - worldwide At SONNENTOR, farmers benefit from the fruits of their work - and with them, whole regions.",0.745497916839,0.784508824390,0.777668382394,0.766870243740,0.751077945334,0.792286501012,,,0,2,0,0,0,0,,2,Subsidiarity,13,E,M,Subsidiarity=2,0.7780270366,0.7873237709,0.8133192437,0.8174868554,,Subsidiarity=2,0.7784165047,0.7873237709,0.8133192437,0.8174130438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the sustainable practice of our international cultivation partners, value is added to their products.",0.745259407542,0.771621155049,0.800010571569,0.772938988634,0.789628056696,0.837722109534,,,0,0,0,0,0,2,,0,Reciprocity,14,F,N,Reciprocity=0,0.701408814,0.744926878,0.7698422197,0.8624575724,,Reciprocity=0,0.7153479724,0.744926878,0.7698422197,0.8170863307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products are harvested by hand and processed on site.,0.756800219898,0.760941795407,0.776725502195,0.773408321938,0.769882785695,0.812951119158,,,0,0,0,0,0,0,,1,Reciprocity,14,F,N,Reciprocity=1,0.7252126628,0.7548692689,0.7899091685,0.8488389282,,Reciprocity=1,0.7280134762,0.7548692689,0.7899091685,0.843588684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This creates jobs in rural areas and secures the existence of many farmers' families over several generations.,0.745854894773,0.779506221924,0.782507571180,0.772864608272,0.793500532937,0.788704118917,,,0,2,0,0,0,0,,2,Reciprocity,14,F,N,Reciprocity=2,0.7316965219,0.7702184505,0.8058446675,0.8800256436,,Reciprocity=2,0.7403906552,0.7702184505,0.8058446675,0.8599059806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
